Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
TalonSoft,0.49,0.33,0.0,0.06,0.87
Team17 Software,0.0,0.04,0.0,0.01,0.05
TechnoSoft,0.03,0.02,0.0,0.0,0.05
Technos Japan Corporation,0.0,0.0,0.02,0.0,0.02
Tecmo Koei,14.08,7.08,29.21,3.18,53.55
Telegames,0.91,0.06,0.0,0.06,1.03
Telltale Games,1.28,1.0,0.03,0.39,2.72
Telstar,0.16,0.1,0.0,0.02,0.27
Tetris Online,0.2,0.13,0.06,0.03,0.43
The Adventure Company,0.34,0.13,0.0,0.05,0.51
The Learning Company,0.03,0.02,0.0,0.0,0.05
Tigervision,1.33,0.09,0.0,0.01,1.42
Time Warner Interactive,0.18,0.12,0.0,0.03,0.35
Titus,1.96,1.08,0.07,0.2,3.32
Tivola,0.08,0.07,0.0,0.02,0.17
Tommo,0.2,0.0,0.0,0.0,0.21
Tomy Corporation,1.84,0.75,2.12,0.25,4.97
TopWare Interactive,0.0,0.1,0.0,0.02,0.12
Touchstone,0.88,0.5,0.02,0.19,1.58
Tradewest,0.02,0.06,0.0,0.01,0.11
Trion Worlds,0.72,0.3,0.0,0.11,1.15
Tripwire Interactive,0.04,0.07,0.0,0.02,0.14
Tru Blu Entertainment,0.01,0.25,0.0,0.02,0.28
Tryfirst,0.0,0.0,0.03,0.0,0.03
Type-Moon,0.0,0.0,0.1,0.0,0.1
U.S. Gold,0.19,0.13,0.0,0.02,0.33
UEP Systems,1.52,0.46,0.2,0.08,2.25
UFO Interactive,0.92,0.0,0.0,0.04,0.96
UIG Entertainment,0.0,0.01,0.0,0.0,0.01
Ubisoft,253.43,163.32,7.5,50.26,474.72
Ubisoft Annecy,1.27,0.66,2.28,0.27,4.46
Ultravision,0.44,0.03,0.0,0.0,0.47
Universal Gamex,0.58,0.04,0.0,0.01,0.63
Universal Interactive,9.08,6.73,0.24,1.75,17.77
Unknown,18.49,7.53,6.06,2.48,34.66
Valcon Games,0.31,0.08,0.0,0.03,0.45
ValuSoft,0.26,0.09,0.0,0.04,0.39
Valve,0.83,0.63,0.02,0.25,1.74
Valve Software,1.74,1.15,0.01,0.32,3.23
Vap,0.0,0.0,0.05,0.0,0.05
Vatical Entertainment,0.14,0.07,0.0,0.01,0.22
Vic Tokai,0.19,0.08,0.0,0.01,0.27
Victor Interactive,0.11,0.08,0.68,0.02,0.89
Video System,0.67,1.04,0.37,0.09,2.18
Views,0.0,0.0,0.03,0.0,0.03
Vir2L Studios,0.22,0.01,0.0,0.01,0.26
Virgin Interactive,18.99,12.94,8.94,3.03,43.87
Virtual Play Games,0.06,0.0,0.0,0.0,0.06
Visco,0.02,0.0,0.0,0.0,0.02
Vivendi Games,37.0,16.04,0.23,4.88,58.21
Wanadoo,0.3,0.21,0.06,0.07,0.65
Warashi,0.0,0.0,0.02,0.0,0.02
Wargaming.net,0.0,0.23,0.0,0.06,0.29
Warner Bros. Interactive Entertainment,81.18,53.12,1.04,18.56,153.89
Warp,0.0,0.0,0.07,0.0,0.07
WayForward Technologies,0.05,0.0,0.0,0.01,0.05
Westwood Studios,1.55,0.0,0.0,0.0,1.55
White Park Bay Software,0.13,0.01,0.0,0.01,0.16
Wizard Video Games,0.58,0.03,0.0,0.01,0.62
XS Games,1.18,0.17,0.0,0.11,1.46
Xicat Interactive,0.09,0.06,0.0,0.01,0.17
Xing Entertainment,0.04,0.03,0.16,0.02,0.24
Xplosiv,0.61,0.86,0.0,0.17,1.64
Xseed Games,0.41,0.04,0.37,0.07,0.9
Yacht Club Games,0.16,0.11,0.01,0.03,0.32
Yamasa Entertainment,0.0,0.0,0.04,0.0,0.04
Yeti,0.0,0.0,0.24,0.0,0.24
Yuke's,0.01,0.01,0.05,0.0,0.08
Yumedia,0.0,0.0,0.06,0.0,0.06
Zenrin,0.0,0.0,0.06,0.0,0.06
Zoo Digital Publishing,9.52,2.45,0.14,0.78,12.87
Zoo Games,4.52,0.0,0.0,0.27,4.82
Zushi Games,1.67,0.05,0.01,0.11,1.89
bitComposer Games,0.16,0.2,0.0,0.08,0.41
dramatic create,0.0,0.0,0.11,0.0,0.11
fonfun,0.0,0.0,0.02,0.0,0.02
iWin,0.0,0.05,0.0,0.01,0.06
id Software,0.02,0.0,0.0,0.0,0.03
imageepoch Inc.,0.0,0.0,0.04,0.0,0.04
inXile Entertainment,0.02,0.06,0.0,0.01,0.1
"mixi, Inc",0.0,0.0,0.86,0.0,0.86
responDESIGN,0.09,0.04,0.0,0.01,0.13
